Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C28323,CL21B105KBFNNNE,Samsung Electro-Mechanics,0805,,1uF ±10% 50V Ceramic Capacitor X7R 0805,yes,20,20,20,0.0133,0.27,https://www.lcsc.com/product-detail/C28323.html
2,C14663,CC0603KRX7R9BB104,YAGEO,0603,,100nF ±10% 50V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0028,0.28,https://www.lcsc.com/product-detail/C14663.html
3,C105574,RC0603FR-07200KL,YAGEO,0603,,100mW 200kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C105574.html
4,C5122557,PAM8403,Slkor,SOP-16,,2-Channel Class D SOP-16 Audio Amplifiers RoHS,yes,5,5,5,0.2669,1.33,https://www.lcsc.com/product-detail/C5122557.html
5,C88732,35YXJ470M10x16,Rubycon,"Through Hole,D10xL16mm",,"470uF 35V Aluminum Electrolytic Capacitors Through Hole,D10xL16mm 10000hrs@105℃",yes,5,5,5,0.1710,0.86,https://www.lcsc.com/product-detail/C88732.html
6,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,yes,5,5,5,0.1829,0.91,https://www.lcsc.com/product-detail/C165948.html
7,C963206,MK-12C02-G020,G-Switch,"SMD,6.6x1.4mm",,"Slide Switch SPDT 1A @ 6V Surface Mount, Right Angle Rectangular Columnar 6.6mm",yes,5,5,5,0.1215,0.61,https://www.lcsc.com/product-detail/C963206.html
8,C3019724,GT-TC006D-H060-L1,G-Switch,"SMD-8P,7.5x7.5mm",,"SMD-8P,7.5x7.5mm Navigation Switches, Joystick RoHS",yes,1,1,1,0.4102,0.41,https://www.lcsc.com/product-detail/C3019724.html
9,C6575016,TC-6615-9.0-160G,HCTL,"Through Hole,Right Angle-4P,6x6mm",,"Tactile Switch SPST 160gf 9mm 6mm x 6mm Through Hole, Right Angle",yes,40,20,20,0.0374,1.50,https://www.lcsc.com/product-detail/C6575016.html
